"","type","floor5x","dwage9x","count","countsamp","conf"
"2774","Basement converted flat","less than 50 sqm","pre 1850",4643,2,2321.5
"7596","Basement converted flat","50 to 69 sqm","pre 1850",3796,1,3796
"6757","Basement converted flat","70 to 89 sqm","pre 1850",1656,1,1656
"4453","Basement converted flat","less than 50 sqm","1850 to 1899",17318,6,2886.33333333333
"1255","Basement converted flat","50 to 69 sqm","1850 to 1899",12390,7,1770
"5231","Basement converted flat","70 to 89 sqm","1850 to 1899",10989,4,2747.25
"675","Basement converted flat","90 to 109 sqm","1850 to 1899",8127,3,2709
"9270","Basement converted flat","110 sqm or more","1850 to 1899",2020,1,2020
"7922","Basement converted flat","less than 50 sqm","1900 to 1918",1168,1,1168
"6146","Basement converted flat","90 to 109 sqm","1900 to 1918",5826,1,5826
"2557","Basement converted flat","50 to 69 sqm","1919 to 1944",1102,1,1102
"5243","Basement converted flat","110 sqm or more","1919 to 1944",1639,1,1639
"673","Basement purpose built flat, low rise","less than 50 sqm","1850 to 1899",4815,3,1605
"12347","Basement purpose built flat, low rise","50 to 69 sqm","1850 to 1899",1591,1,1591
"6151","Basement purpose built flat, low rise","less than 50 sqm","1965 to 1974",668,1,668
"4384","Basement purpose built flat, low rise","50 to 69 sqm","post 1990",2604,2,1302
"12316","Basement purpose built flat, low rise","70 to 89 sqm","post 1990",1772,1,1772
"2747","bungalow","less than 50 sqm","pre 1850",870,1,870
"9114","bungalow","50 to 69 sqm","pre 1850",2408,1,2408
"7901","bungalow","90 to 109 sqm","pre 1850",1802,1,1802
"2114","bungalow","110 sqm or more","pre 1850",2020,1,2020
"2645","bungalow","50 to 69 sqm","1850 to 1899",930,1,930
"5706","bungalow","70 to 89 sqm","1850 to 1899",956,1,956
"4012","bungalow","90 to 109 sqm","1850 to 1899",6786,1,6786
"707","bungalow","110 sqm or more","1850 to 1899",10435,3,3478.33333333333
"620","bungalow","less than 50 sqm","1900 to 1918",2090,3,696.666666666667
"5451","bungalow","50 to 69 sqm","1900 to 1918",5112,3,1704
"4532","bungalow","70 to 89 sqm","1900 to 1918",1693,1,1693
"3317","bungalow","90 to 109 sqm","1900 to 1918",2179,1,2179
"960","bungalow","110 sqm or more","1900 to 1918",4749,2,2374.5
"146","bungalow","less than 50 sqm","1919 to 1944",43938,34,1292.29411764706
"4","bungalow","50 to 69 sqm","1919 to 1944",98763,37,2669.27027027027
"1709","bungalow","70 to 89 sqm","1919 to 1944",50579,20,2528.95
"417","bungalow","90 to 109 sqm","1919 to 1944",33225,14,2373.21428571429
"3215","bungalow","110 sqm or more","1919 to 1944",14705,5,2941
"6","bungalow","less than 50 sqm","1945 to 1964",153681,178,863.376404494382
"48","bungalow","50 to 69 sqm","1945 to 1964",234783,132,1778.65909090909
"83","bungalow","70 to 89 sqm","1945 to 1964",128542,51,2520.43137254902
"1743","bungalow","90 to 109 sqm","1945 to 1964",49160,19,2587.36842105263
"361","bungalow","110 sqm or more","1945 to 1964",67543,19,3554.89473684211
"53","bungalow","less than 50 sqm","1965 to 1974",65736,68,966.705882352941
"176","bungalow","50 to 69 sqm","1965 to 1974",216807,125,1734.456
"254","bungalow","70 to 89 sqm","1965 to 1974",134046,55,2437.2
"778","bungalow","90 to 109 sqm","1965 to 1974",58189,17,3422.88235294118
"321","bungalow","110 sqm or more","1965 to 1974",75909,28,2711.03571428571
"180","bungalow","less than 50 sqm","1975 to 1980",30133,30,1004.43333333333
"191","bungalow","50 to 69 sqm","1975 to 1980",58746,40,1468.65
"182","bungalow","70 to 89 sqm","1975 to 1980",51471,20,2573.55
"961","bungalow","90 to 109 sqm","1975 to 1980",27402,11,2491.09090909091
"2126","bungalow","110 sqm or more","1975 to 1980",30209,9,3356.55555555556
"141","bungalow","less than 50 sqm","1981 to 1990",64608,51,1266.82352941176
"24","bungalow","50 to 69 sqm","1981 to 1990",108093,62,1743.43548387097
"2447","bungalow","70 to 89 sqm","1981 to 1990",37293,14,2663.78571428571
"2598","bungalow","90 to 109 sqm","1981 to 1990",29025,10,2902.5
"3302","bungalow","110 sqm or more","1981 to 1990",20583,9,2287
"88","bungalow","less than 50 sqm","post 1990",31647,17,1861.58823529412
"32","bungalow","50 to 69 sqm","post 1990",62253,47,1324.53191489362
"273","bungalow","70 to 89 sqm","post 1990",55493,21,2642.52380952381
"987","bungalow","90 to 109 sqm","post 1990",24189,9,2687.66666666667
"6070","bungalow","110 sqm or more","post 1990",18858,7,2694
"5754","converted flat 2 floors","70 to 89 sqm","pre 1850",1102,1,1102
"11202","detached 2 floors","less than 50 sqm","pre 1850",1890,1,1890
"4438","detached 2 floors","50 to 69 sqm","pre 1850",940,1,940
"1609","detached 2 floors","70 to 89 sqm","pre 1850",17751,4,4437.75
"909","detached 2 floors","90 to 109 sqm","pre 1850",24827,10,2482.7
"429","detached 2 floors","110 sqm or more","pre 1850",183191,69,2654.94202898551
"6732","detached 2 floors","less than 50 sqm","1850 to 1899",3075,2,1537.5
"9172","detached 2 floors","50 to 69 sqm","1850 to 1899",3562,2,1781
"2537","detached 2 floors","70 to 89 sqm","1850 to 1899",17515,6,2919.16666666667
"188","detached 2 floors","90 to 109 sqm","1850 to 1899",43614,14,3115.28571428571
"1102","detached 2 floors","110 sqm or more","1850 to 1899",80125,33,2428.0303030303
"12282","detached 2 floors","less than 50 sqm","1900 to 1918",470,1,470
"8268","detached 2 floors","50 to 69 sqm","1900 to 1918",2975,1,2975
"619","detached 2 floors","70 to 89 sqm","1900 to 1918",7391,4,1847.75
"1428","detached 2 floors","90 to 109 sqm","1900 to 1918",12254,5,2450.8
"324","detached 2 floors","110 sqm or more","1900 to 1918",74048,26,2848
"8582","detached 2 floors","50 to 69 sqm","1919 to 1944",7786,3,2595.33333333333
"2408","detached 2 floors","70 to 89 sqm","1919 to 1944",37872,19,1993.26315789474
"3519","detached 2 floors","90 to 109 sqm","1919 to 1944",53929,20,2696.45
"213","detached 2 floors","110 sqm or more","1919 to 1944",352564,113,3120.03539823009
"8215","detached 2 floors","less than 50 sqm","1945 to 1964",2776,1,2776
"1161","detached 2 floors","50 to 69 sqm","1945 to 1964",7584,3,2528
"660","detached 2 floors","70 to 89 sqm","1945 to 1964",20904,9,2322.66666666667
"244","detached 2 floors","90 to 109 sqm","1945 to 1964",74388,25,2975.52
"103","detached 2 floors","110 sqm or more","1945 to 1964",359699,121,2972.71900826446
"8855","detached 2 floors","50 to 69 sqm","1965 to 1974",1918,1,1918
"237","detached 2 floors","70 to 89 sqm","1965 to 1974",79408,29,2738.20689655172
"187","detached 2 floors","90 to 109 sqm","1965 to 1974",79313,35,2266.08571428571
"67","detached 2 floors","110 sqm or more","1965 to 1974",402573,145,2776.36551724138
"108","detached 2 floors","50 to 69 sqm","1975 to 1980",24986,8,3123.25
"131","detached 2 floors","70 to 89 sqm","1975 to 1980",55480,24,2311.66666666667
"1393","detached 2 floors","90 to 109 sqm","1975 to 1980",82132,34,2415.64705882353
"59","detached 2 floors","110 sqm or more","1975 to 1980",238433,75,3179.10666666667
"10359","detached 2 floors","less than 50 sqm","1981 to 1990",1541,1,1541
"2229","detached 2 floors","50 to 69 sqm","1981 to 1990",34042,13,2618.61538461538
"1515","detached 2 floors","70 to 89 sqm","1981 to 1990",77083,30,2569.43333333333
"711","detached 2 floors","90 to 109 sqm","1981 to 1990",116813,35,3337.51428571429
"205","detached 2 floors","110 sqm or more","1981 to 1990",271553,99,2742.9595959596
"6771","detached 2 floors","less than 50 sqm","post 1990",1412,1,1412
"604","detached 2 floors","50 to 69 sqm","post 1990",35098,12,2924.83333333333
"785","detached 2 floors","70 to 89 sqm","post 1990",88239,37,2384.83783783784
"883","detached 2 floors","90 to 109 sqm","post 1990",218479,80,2730.9875
"18","detached 2 floors","110 sqm or more","post 1990",592553,192,3086.21354166667
"4985","detached 3 floors","90 to 109 sqm","pre 1850",1249,1,1249
"1982","detached 3 floors","110 sqm or more","pre 1850",28102,13,2161.69230769231
"9077","detached 3 floors","70 to 89 sqm","1850 to 1899",1204,1,1204
"7859","detached 3 floors","90 to 109 sqm","1850 to 1899",1988,1,1988
"1323","detached 3 floors","110 sqm or more","1850 to 1899",38327,10,3832.7
"8296","detached 3 floors","70 to 89 sqm","1900 to 1918",2193,1,2193
"1552","detached 3 floors","110 sqm or more","1900 to 1918",21980,10,2198
"2826","detached 3 floors","110 sqm or more","1919 to 1944",26302,10,2630.2
"118","detached 3 floors","110 sqm or more","1945 to 1964",18899,8,2362.375
"7385","detached 3 floors","110 sqm or more","1965 to 1974",17747,3,5915.66666666667
"7156","detached 3 floors","90 to 109 sqm","1975 to 1980",2706,1,2706
"4774","detached 3 floors","110 sqm or more","1975 to 1980",2219,1,2219
"602","detached 3 floors","110 sqm or more","1981 to 1990",17866,5,3573.2
"7406","detached 3 floors","70 to 89 sqm","post 1990",1536,1,1536
"943","detached 3 floors","90 to 109 sqm","post 1990",5769,3,1923
"156","detached 3 floors","110 sqm or more","post 1990",89282,30,2976.06666666667
"2896","end terrace 2 floors","less than 50 sqm","pre 1850",2917,2,1458.5
"1391","end terrace 2 floors","50 to 69 sqm","pre 1850",6541,4,1635.25
"914","end terrace 2 floors","70 to 89 sqm","pre 1850",7959,3,2653
"11632","end terrace 2 floors","90 to 109 sqm","pre 1850",6274,1,6274
"1037","end terrace 2 floors","110 sqm or more","pre 1850",18567,9,2063
"5828","end terrace 2 floors","less than 50 sqm","1850 to 1899",2751,3,917
"2054","end terrace 2 floors","50 to 69 sqm","1850 to 1899",43534,25,1741.36
"219","end terrace 2 floors","70 to 89 sqm","1850 to 1899",70534,30,2351.13333333333
"1320","end terrace 2 floors","90 to 109 sqm","1850 to 1899",48457,18,2692.05555555556
"1032","end terrace 2 floors","110 sqm or more","1850 to 1899",41499,12,3458.25
"3910","end terrace 2 floors","less than 50 sqm","1900 to 1918",5132,3,1710.66666666667
"1003","end terrace 2 floors","50 to 69 sqm","1900 to 1918",65065,25,2602.6
"311","end terrace 2 floors","70 to 89 sqm","1900 to 1918",66427,32,2075.84375
"1498","end terrace 2 floors","90 to 109 sqm","1900 to 1918",26442,11,2403.81818181818
"1271","end terrace 2 floors","110 sqm or more","1900 to 1918",40332,15,2688.8
"4913","end terrace 2 floors","less than 50 sqm","1919 to 1944",4426,4,1106.5
"55","end terrace 2 floors","50 to 69 sqm","1919 to 1944",130322,97,1343.52577319588
"242","end terrace 2 floors","70 to 89 sqm","1919 to 1944",168170,83,2026.14457831325
"1115","end terrace 2 floors","90 to 109 sqm","1919 to 1944",69684,21,3318.28571428571
"93","end terrace 2 floors","110 sqm or more","1919 to 1944",24493,9,2721.44444444444
"2166","end terrace 2 floors","less than 50 sqm","1945 to 1964",2106,2,1053
"43","end terrace 2 floors","50 to 69 sqm","1945 to 1964",119019,116,1026.02586206897
"164","end terrace 2 floors","70 to 89 sqm","1945 to 1964",166042,140,1186.01428571429
"231","end terrace 2 floors","90 to 109 sqm","1945 to 1964",35194,23,1530.17391304348
"1622","end terrace 2 floors","110 sqm or more","1945 to 1964",23442,9,2604.66666666667
"1346","end terrace 2 floors","50 to 69 sqm","1965 to 1974",49707,37,1343.43243243243
"134","end terrace 2 floors","70 to 89 sqm","1965 to 1974",109190,89,1226.85393258427
"2080","end terrace 2 floors","90 to 109 sqm","1965 to 1974",40503,22,1841.04545454545
"854","end terrace 2 floors","110 sqm or more","1965 to 1974",9657,7,1379.57142857143
"1371","end terrace 2 floors","less than 50 sqm","1975 to 1980",4498,5,899.6
"19","end terrace 2 floors","50 to 69 sqm","1975 to 1980",27563,19,1450.68421052632
"226","end terrace 2 floors","70 to 89 sqm","1975 to 1980",49426,43,1149.44186046512
"613","end terrace 2 floors","90 to 109 sqm","1975 to 1980",8410,5,1682
"1760","end terrace 2 floors","110 sqm or more","1975 to 1980",2360,2,1180
"970","end terrace 2 floors","less than 50 sqm","1981 to 1990",33221,13,2555.46153846154
"44","end terrace 2 floors","50 to 69 sqm","1981 to 1990",64530,43,1500.6976744186
"23","end terrace 2 floors","70 to 89 sqm","1981 to 1990",40977,22,1862.59090909091
"35","end terrace 2 floors","90 to 109 sqm","1981 to 1990",11820,7,1688.57142857143
"6358","end terrace 2 floors","110 sqm or more","1981 to 1990",2976,1,2976
"2996","end terrace 2 floors","less than 50 sqm","post 1990",15520,11,1410.90909090909
"26","end terrace 2 floors","50 to 69 sqm","post 1990",137213,76,1805.43421052632
"580","end terrace 2 floors","70 to 89 sqm","post 1990",94001,67,1403
"763","end terrace 2 floors","90 to 109 sqm","post 1990",11836,13,910.461538461538
"985","end terrace 2 floors","110 sqm or more","post 1990",11594,5,2318.8
"1684","end terrace 3 floors","50 to 69 sqm","pre 1850",2841,1,2841
"608","end terrace 3 floors","110 sqm or more","pre 1850",22110,7,3158.57142857143
"6883","end terrace 3 floors","less than 50 sqm","1850 to 1899",3074,1,3074
"12254","end terrace 3 floors","50 to 69 sqm","1850 to 1899",3657,1,3657
"2536","end terrace 3 floors","70 to 89 sqm","1850 to 1899",9149,5,1829.8
"4071","end terrace 3 floors","90 to 109 sqm","1850 to 1899",15807,7,2258.14285714286
"198","end terrace 3 floors","110 sqm or more","1850 to 1899",30361,12,2530.08333333333
"9554","end terrace 3 floors","less than 50 sqm","1900 to 1918",10198,3,3399.33333333333
"853","end terrace 3 floors","50 to 69 sqm","1900 to 1918",728,1,728
"869","end terrace 3 floors","70 to 89 sqm","1900 to 1918",23701,8,2962.625
"7278","end terrace 3 floors","90 to 109 sqm","1900 to 1918",8936,3,2978.66666666667
"1384","end terrace 3 floors","110 sqm or more","1900 to 1918",25105,12,2092.08333333333
"1564","end terrace 3 floors","less than 50 sqm","1919 to 1944",5204,2,2602
"3946","end terrace 3 floors","50 to 69 sqm","1919 to 1944",2426,1,2426
"10441","end terrace 3 floors","70 to 89 sqm","1919 to 1944",1267,1,1267
"2282","end terrace 3 floors","90 to 109 sqm","1919 to 1944",13369,5,2673.8
"3031","end terrace 3 floors","110 sqm or more","1919 to 1944",4710,2,2355
"11974","end terrace 3 floors","50 to 69 sqm","1945 to 1964",1905,1,1905
"5787","end terrace 3 floors","90 to 109 sqm","1945 to 1964",8799,3,2933
"3472","end terrace 3 floors","110 sqm or more","1945 to 1964",3509,2,1754.5
"3776","end terrace 3 floors","70 to 89 sqm","1965 to 1974",5163,3,1721
"102","end terrace 3 floors","90 to 109 sqm","1965 to 1974",14723,4,3680.75
"4818","end terrace 3 floors","110 sqm or more","1965 to 1974",9188,3,3062.66666666667
"8018","end terrace 3 floors","70 to 89 sqm","1975 to 1980",398,1,398
"2825","end terrace 3 floors","90 to 109 sqm","1975 to 1980",6102,5,1220.4
"1495","end terrace 3 floors","110 sqm or more","1975 to 1980",2209,1,2209
"9962","end terrace 3 floors","70 to 89 sqm","1981 to 1990",1958,1,1958
"5288","end terrace 3 floors","90 to 109 sqm","1981 to 1990",1463,2,731.5
"542","end terrace 3 floors","110 sqm or more","1981 to 1990",5297,4,1324.25
"4826","end terrace 3 floors","50 to 69 sqm","post 1990",3138,2,1569
"555","end terrace 3 floors","70 to 89 sqm","post 1990",20669,12,1722.41666666667
"1198","end terrace 3 floors","90 to 109 sqm","post 1990",28907,11,2627.90909090909
"2406","end terrace 3 floors","110 sqm or more","post 1990",43740,20,2187
"7396","end terrace 4 floors","110 sqm or more","post 1990",822,1,822
"670","Ground floor converted flat","less than 50 sqm","pre 1850",13226,6,2204.33333333333
"4975","Ground floor converted flat","70 to 89 sqm","pre 1850",1148,1,1148
"6881","Ground floor converted flat","90 to 109 sqm","pre 1850",4256,2,2128
"9763","Ground floor converted flat","110 sqm or more","pre 1850",1511,1,1511
"536","Ground floor converted flat","less than 50 sqm","1850 to 1899",50540,25,2021.6
"799","Ground floor converted flat","50 to 69 sqm","1850 to 1899",49471,20,2473.55
"462","Ground floor converted flat","70 to 89 sqm","1850 to 1899",16052,6,2675.33333333333
"2299","Ground floor converted flat","90 to 109 sqm","1850 to 1899",27204,7,3886.28571428571
"3730","Ground floor converted flat","110 sqm or more","1850 to 1899",5119,3,1706.33333333333
"1229","Ground floor converted flat","less than 50 sqm","1900 to 1918",34814,17,2047.88235294118
"889","Ground floor converted flat","50 to 69 sqm","1900 to 1918",34250,15,2283.33333333333
"3569","Ground floor converted flat","70 to 89 sqm","1900 to 1918",3941,4,985.25
"4341","Ground floor converted flat","90 to 109 sqm","1900 to 1918",11680,4,2920
"3399","Ground floor converted flat","110 sqm or more","1900 to 1918",7261,2,3630.5
"285","Ground floor converted flat","less than 50 sqm","1919 to 1944",24108,12,2009
"41","Ground floor converted flat","50 to 69 sqm","1919 to 1944",15355,10,1535.5
"110","Ground floor converted flat","70 to 89 sqm","1919 to 1944",4979,3,1659.66666666667
"11857","Ground floor converted flat","110 sqm or more","1919 to 1944",976,1,976
"3534","Ground floor converted flat","less than 50 sqm","1945 to 1964",8659,4,2164.75
"7209","Ground floor converted flat","50 to 69 sqm","1945 to 1964",1082,1,1082
"576","Ground floor converted flat","50 to 69 sqm","1965 to 1974",856,1,856
"6147","Ground floor purpose built flat, high rise","90 to 109 sqm","1850 to 1899",4370,1,4370
"12325","Ground floor purpose built flat, high rise","50 to 69 sqm","1900 to 1918",385,1,385
"5217","Ground floor purpose built flat, high rise","50 to 69 sqm","1919 to 1944",4623,1,4623
"8480","Ground floor purpose built flat, high rise","less than 50 sqm","1945 to 1964",2411,4,602.75
"465","Ground floor purpose built flat, high rise","50 to 69 sqm","1945 to 1964",6242,6,1040.33333333333
"2722","Ground floor purpose built flat, high rise","70 to 89 sqm","1945 to 1964",12184,1,12184
"4325","Ground floor purpose built flat, high rise","less than 50 sqm","1965 to 1974",3986,3,1328.66666666667
"3595","Ground floor purpose built flat, high rise","50 to 69 sqm","1965 to 1974",6550,4,1637.5
"4326","Ground floor purpose built flat, high rise","70 to 89 sqm","1965 to 1974",4226,5,845.2
"9227","Ground floor purpose built flat, high rise","90 to 109 sqm","1965 to 1974",7887,1,7887
"7281","Ground floor purpose built flat, high rise","50 to 69 sqm","post 1990",4421,1,4421
"1226","Ground floor purpose built flat, high rise","70 to 89 sqm","post 1990",7038,3,2346
"519","Ground floor purpose built flat, low rise","less than 50 sqm","1850 to 1899",3427,2,1713.5
"5291","Ground floor purpose built flat, low rise","50 to 69 sqm","1850 to 1899",16228,9,1803.11111111111
"7020","Ground floor purpose built flat, low rise","70 to 89 sqm","1850 to 1899",2466,1,2466
"548","Ground floor purpose built flat, low rise","110 sqm or more","1850 to 1899",5933,1,5933
"719","Ground floor purpose built flat, low rise","less than 50 sqm","1900 to 1918",3941,3,1313.66666666667
"523","Ground floor purpose built flat, low rise","50 to 69 sqm","1900 to 1918",15661,8,1957.625
"1953","Ground floor purpose built flat, low rise","70 to 89 sqm","1900 to 1918",3854,1,3854
"698","Ground floor purpose built flat, low rise","less than 50 sqm","1919 to 1944",18160,14,1297.14285714286
"152","Ground floor purpose built flat, low rise","50 to 69 sqm","1919 to 1944",43843,29,1511.8275862069
"2765","Ground floor purpose built flat, low rise","70 to 89 sqm","1919 to 1944",4543,3,1514.33333333333
"4477","Ground floor purpose built flat, low rise","90 to 109 sqm","1919 to 1944",5401,2,2700.5
"10711","Ground floor purpose built flat, low rise","110 sqm or more","1919 to 1944",750,1,750
"163","Ground floor purpose built flat, low rise","less than 50 sqm","1945 to 1964",97020,109,890.091743119266
"80","Ground floor purpose built flat, low rise","50 to 69 sqm","1945 to 1964",121357,130,933.515384615385
"120","Ground floor purpose built flat, low rise","70 to 89 sqm","1945 to 1964",44527,31,1436.35483870968
"1005","Ground floor purpose built flat, low rise","90 to 109 sqm","1945 to 1964",5146,4,1286.5
"37","Ground floor purpose built flat, low rise","less than 50 sqm","1965 to 1974",98539,97,1015.86597938144
"81","Ground floor purpose built flat, low rise","50 to 69 sqm","1965 to 1974",89396,87,1027.54022988506
"107","Ground floor purpose built flat, low rise","70 to 89 sqm","1965 to 1974",36382,34,1070.05882352941
"3296","Ground floor purpose built flat, low rise","90 to 109 sqm","1965 to 1974",3629,5,725.8
"5614","Ground floor purpose built flat, low rise","110 sqm or more","1965 to 1974",2657,2,1328.5
"17","Ground floor purpose built flat, low rise","less than 50 sqm","1975 to 1980",70337,63,1116.46031746032
"13","Ground floor purpose built flat, low rise","50 to 69 sqm","1975 to 1980",34779,36,966.083333333333
"442","Ground floor purpose built flat, low rise","70 to 89 sqm","1975 to 1980",8012,9,890.222222222222
"6969","Ground floor purpose built flat, low rise","110 sqm or more","1975 to 1980",536,1,536
"95","Ground floor purpose built flat, low rise","less than 50 sqm","1981 to 1990",129171,98,1318.07142857143
"171","Ground floor purpose built flat, low rise","50 to 69 sqm","1981 to 1990",64861,47,1380.02127659574
"10707","Ground floor purpose built flat, low rise","70 to 89 sqm","1981 to 1990",3555,3,1185
"1124","Ground floor purpose built flat, low rise","90 to 109 sqm","1981 to 1990",5062,3,1687.33333333333
"5618","Ground floor purpose built flat, low rise","110 sqm or more","1981 to 1990",2397,1,2397
"197","Ground floor purpose built flat, low rise","less than 50 sqm","post 1990",101300,67,1511.94029850746
"97","Ground floor purpose built flat, low rise","50 to 69 sqm","post 1990",143683,77,1866.01298701299
"837","Ground floor purpose built flat, low rise","70 to 89 sqm","post 1990",37236,17,2190.35294117647
"6139","Ground floor purpose built flat, low rise","90 to 109 sqm","post 1990",1474,2,737
"1820","Ground floor purpose built flat, low rise","110 sqm or more","post 1990",5939,2,2969.5
"309","Mid Floor converted flat","less than 50 sqm","pre 1850",9637,6,1606.16666666667
"509","Mid Floor converted flat","50 to 69 sqm","pre 1850",2851,2,1425.5
"3206","Mid Floor converted flat","70 to 89 sqm","pre 1850",1720,1,1720
"5933","Mid Floor converted flat","90 to 109 sqm","pre 1850",1170,1,1170
"4781","Mid Floor converted flat","110 sqm or more","pre 1850",5151,1,5151
"348","Mid Floor converted flat","less than 50 sqm","1850 to 1899",41587,26,1599.5
"601","Mid Floor converted flat","50 to 69 sqm","1850 to 1899",43579,13,3352.23076923077
"350","Mid Floor converted flat","70 to 89 sqm","1850 to 1899",10186,8,1273.25
"5173","Mid Floor converted flat","90 to 109 sqm","1850 to 1899",7418,1,7418
"2496","Mid Floor converted flat","110 sqm or more","1850 to 1899",7476,3,2492
"1353","Mid Floor converted flat","less than 50 sqm","1900 to 1918",16338,12,1361.5
"4391","Mid Floor converted flat","50 to 69 sqm","1900 to 1918",10002,7,1428.85714285714
"7577","Mid Floor converted flat","70 to 89 sqm","1900 to 1918",2378,2,1189
"1113","Mid Floor converted flat","90 to 109 sqm","1900 to 1918",2970,1,2970
"5613","Mid Floor converted flat","110 sqm or more","1900 to 1918",8933,2,4466.5
"11385","Mid Floor converted flat","less than 50 sqm","1919 to 1944",1660,1,1660
"656","Mid Floor converted flat","50 to 69 sqm","1919 to 1944",4262,3,1420.66666666667
"2549","Mid Floor converted flat","less than 50 sqm","1945 to 1964",7255,2,3627.5
"10408","Mid Floor converted flat","50 to 69 sqm","1965 to 1974",1378,1,1378
"3075","Mid Floor purpose built flat, high rise","50 to 69 sqm","pre 1850",1877,1,1877
"12345","Mid Floor purpose built flat, high rise","50 to 69 sqm","1900 to 1918",1255,1,1255
"9991","Mid Floor purpose built flat, high rise","70 to 89 sqm","1900 to 1918",731,1,731
"1981","Mid Floor purpose built flat, high rise","less than 50 sqm","1919 to 1944",15233,5,3046.6
"6271","Mid Floor purpose built flat, high rise","50 to 69 sqm","1919 to 1944",6744,3,2248
"352","Mid Floor purpose built flat, high rise","70 to 89 sqm","1919 to 1944",6718,4,1679.5
"569","Mid Floor purpose built flat, high rise","less than 50 sqm","1945 to 1964",23648,22,1074.90909090909
"355","Mid Floor purpose built flat, high rise","50 to 69 sqm","1945 to 1964",32217,31,1039.25806451613
"552","Mid Floor purpose built flat, high rise","70 to 89 sqm","1945 to 1964",7216,10,721.6
"3583","Mid Floor purpose built flat, high rise","90 to 109 sqm","1945 to 1964",1932,2,966
"220","Mid Floor purpose built flat, high rise","less than 50 sqm","1965 to 1974",32166,37,869.351351351351
"51","Mid Floor purpose built flat, high rise","50 to 69 sqm","1965 to 1974",76402,71,1076.08450704225
