"","archcode","count","countsamp","conf"
"1","A-A-A-A-A",238329,91,2619
"2","A-A-A-B-A",178424,83,2149.68674698795
"3","A-A-A-B-B",2450,1,2450
"4","A-A-A-C-A",63261,32,1976.90625
"5","A-A-A-D-A",23500,16,1468.75
"6","A-A-A-E-A",36546,14,2610.42857142857
"7","A-A-A-F-A",7695,2,3847.5
"8","A-A-A-G-A",2347,1,2347
"9","A-A-A-H-A",10389,4,2597.25
"10","A-A-A-K-A",15821,5,3164.2
"11","A-A-A-L-A",17696,8,2212
"12","A-A-B-A-A",128302,52,2467.34615384615
"13","A-A-B-A-B",1349,1,1349
"14","A-A-B-B-A",62605,26,2407.88461538462
"15","A-A-B-C-A",36874,13,2836.46153846154
"16","A-A-B-D-A",10031,6,1671.83333333333
"17","A-A-B-E-A",39660,20,1983
"18","A-A-B-F-A",15208,7,2172.57142857143
"19","A-A-B-H-A",888,1,888
"20","A-A-B-K-A",811,1,811
"21","A-A-B-L-A",11011,5,2202.2
"22","A-A-C-A-A",3662,1,3662
"23","A-A-C-B-A",1275,1,1275
"24","A-A-C-E-A",6230,2,3115
"25","A-A-D-A-A",7826,3,2608.66666666667
"26","A-A-D-A-B",1353,1,1353
"27","A-A-D-B-A",15322,1,15322
"28","A-A-D-E-A",9067,3,3022.33333333333
"29","A-A-D-F-A",3938,1,3938
"30","A-B-A-A-A",34577,11,3143.36363636364
"31","A-B-A-A-B",4260,1,4260
"32","A-B-A-B-A",29301,7,4185.85714285714
"33","A-B-A-B-B",2018,1,2018
"34","A-B-A-C-A",5191,1,5191
"35","A-B-A-E-A",2298,1,2298
"36","A-B-A-F-A",7747,2,3873.5
"37","A-B-A-H-A",2921,1,2921
"38","A-B-A-K-B",2811,1,2811
"39","A-B-B-A-A",67142,23,2919.21739130435
"40","A-B-B-B-A",37716,12,3143
"41","A-B-B-B-B",7386,3,2462
"42","A-B-B-C-A",13532,5,2706.4
"43","A-B-B-E-A",3792,1,3792
"44","A-B-B-H-A",2066,1,2066
"45","A-B-B-K-A",5698,1,5698
"46","A-B-C-B-A",1361,1,1361
"47","A-B-C-C-A",4256,1,4256
"48","A-B-D-A-A",3475,2,1737.5
"49","A-B-D-B-A",3174,1,3174
"50","A-B-D-F-A",1710,1,1710
"51","A-C-A-K-B",649,1,649
"52","A-C-B-A-A",2121,1,2121
"53","AD-A-A-A-A",630638,340,1854.81764705882
"54","AD-A-A-B-A",206448,102,2024
"55","AD-A-A-C-A",103558,56,1849.25
"56","AD-A-A-D-A",14869,6,2478.16666666667
"57","AD-A-A-E-A",19537,10,1953.7
"58","AD-A-A-F-A",26128,8,3266
"59","AD-A-A-H-A",10395,4,2598.75
"60","AD-A-A-L-A",7001,5,1400.2
"61","AD-A-A-W-A",4279,2,2139.5
"62","AD-A-B-A-A",236400,119,1986.55462184874
"63","AD-A-B-A-B",1043,1,1043
"64","AD-A-B-B-A",179389,68,2638.07352941176
"65","AD-A-B-C-A",61229,24,2551.20833333333
"66","AD-A-B-D-A",7185,4,1796.25
"67","AD-A-B-E-A",9699,5,1939.8
"68","AD-A-B-F-A",6368,4,1592
"69","AD-A-B-K-A",3070,1,3070
"70","AD-A-C-A-A",2674,2,1337
"71","AD-A-C-D-A",2187,1,2187
"72","AD-A-D-A-A",16534,8,2066.75
"73","AD-A-D-B-A",1756,1,1756
"74","AD-A-D-B-B",1203,1,1203
"75","AD-B-A-A-A",53382,18,2965.66666666667
"76","AD-B-A-B-A",9377,5,1875.4
"77","AD-B-A-C-A",2975,1,2975
"78","AD-B-A-C-B",3321,1,3321
"79","AD-B-A-H-A",3004,1,3004
"80","AD-B-B-A-A",42246,12,3520.5
"81","AD-B-B-B-A",31166,7,4452.28571428571
"82","AD-B-B-C-A",4962,2,2481
"83","AD-B-B-H-A",2004,1,2004
"84","AD-B-D-A-A",3208,1,3208
"85","AD-C-A-A-A",7368,3,2456
"86","AD-C-C-A-B",3351,1,3351
"87","AE-A-A-A-A",741968,468,1585.40170940171
"88","AE-A-A-A-B",3669,2,1834.5
"89","AE-A-A-B-A",375820,231,1626.92640692641
"90","AE-A-A-C-A",138183,75,1842.44
"91","AE-A-A-D-A",19392,15,1292.8
"92","AE-A-A-E-A",31498,20,1574.9
"93","AE-A-A-F-A",6285,5,1257
"94","AE-A-A-H-A",19189,7,2741.28571428571
"95","AE-A-A-K-A",2465,2,1232.5
"96","AE-A-A-L-A",30023,16,1876.4375
"97","AE-A-B-A-A",39660,22,1802.72727272727
"98","AE-A-B-B-A",19383,9,2153.66666666667
"99","AE-A-B-C-A",7317,2,3658.5
"100","AE-A-B-D-A",3048,1,3048
"101","AE-A-B-E-A",1056,1,1056
"102","AE-A-B-W-A",1840,1,1840
"103","AE-A-C-A-A",71251,70,1017.87142857143
"104","AE-A-C-B-A",13863,18,770.166666666667
"105","AE-A-C-C-A",6333,7,904.714285714286
"106","AE-A-C-D-A",818,1,818
"107","AE-A-C-E-A",3542,2,1771
"108","AE-A-C-H-A",1899,2,949.5
"109","AE-A-C-K-A",4496,2,2248
"110","AE-A-C-L-A",4768,2,2384
"111","AE-A-D-A-A",4787,5,957.4
"112","AE-A-D-B-A",5616,6,936
"113","AE-B-A-A-A",91675,30,3055.83333333333
"114","AE-B-A-A-B",1968,1,1968
"115","AE-B-A-B-A",23174,9,2574.88888888889
"116","AE-B-A-B-B",7642,1,7642
"117","AE-B-A-C-A",14793,6,2465.5
"118","AE-B-A-C-B",2353,1,2353
"119","AE-B-A-D-A",2744,1,2744
"120","AE-B-A-F-A",5350,1,5350
"121","AE-B-A-K-A",1748,1,1748
"122","AE-B-B-A-A",4909,2,2454.5
"123","AE-B-C-A-A",2564,1,2564
"124","AE-B-C-C-A",1435,1,1435
"125","AE-B-D-A-A",901,1,901
"126","AE-C-A-A-A",7878,3,2626
"127","AE-C-A-A-B",2332,1,2332
"128","AE-C-A-B-A",4036,2,2018
"129","AE-C-A-B-B",2173,1,2173
"130","AF-A-A-A-A",253093,114,2220.11403508772
"131","AF-A-A-B-A",176049,68,2588.95588235294
"132","AF-A-A-B-B",1942,1,1942
"133","AF-A-A-C-A",59882,26,2303.15384615385
"134","AF-A-A-D-A",9851,4,2462.75
"135","AF-A-A-E-A",2697,1,2697
"136","AF-A-A-F-A",5440,1,5440
"137","AF-A-A-H-A",11781,4,2945.25
"138","AF-A-A-K-A",9317,3,3105.66666666667
"139","AF-A-A-L-A",876,1,876
"140","AF-A-C-A-A",5752,6,958.666666666667
"141","AF-A-C-B-A",360,1,360
"142","AF-A-C-C-A",541,1,541
"143","AF-A-C-D-A",548,1,548
"144","AF-A-D-A-A",867,1,867
"145","AF-B-A-A-A",87675,30,2922.5
"146","AF-B-A-A-B",14841,3,4947
"147","AF-B-A-B-A",20836,9,2315.11111111111
"148","AF-B-A-B-B",2417,1,2417
"149","AF-B-A-C-A",11716,6,1952.66666666667
"150","AF-B-A-C-B",1148,1,1148
"151","AF-B-A-H-A",2576,1,2576
"152","AF-B-A-K-A",7887,2,3943.5
"153","AF-C-A-A-A",4163,1,4163
"154","AF-C-A-A-B",471,1,471
"155","AF-C-A-B-B",1359,1,1359
"156","AF-C-A-C-A",1793,1,1793
"157","AI-A-A-A-A",148340,82,1809.0243902439
"158","AI-A-A-B-A",164281,104,1579.625
"159","AI-A-A-C-A",78331,35,2238.02857142857
"160","AI-A-A-D-A",4377,5,875.4
"161","AI-A-A-E-A",6907,5,1381.4
"162","AI-A-A-G-A",2129,1,2129
"163","AI-A-A-H-A",1512,2,756
"164","AI-A-A-L-A",6831,6,1138.5
"165","AI-A-C-A-A",637,1,637
"166","AI-A-C-B-A",1208,1,1208
"167","AI-B-A-A-A",12663,7,1809
"168","AI-B-A-B-A",18509,8,2313.625
"169","AI-B-A-C-A",4376,3,1458.66666666667
"170","AI-B-A-D-A",860,1,860
"171","AI-B-A-E-A",2811,1,2811
"172","AI-B-A-H-A",724,1,724
"173","AI-B-A-L-A",2754,1,2754
"174","B-A-A-A-A",8296,3,2765.33333333333
"175","B-A-A-B-A",10470,4,2617.5
"176","B-A-A-C-A",4891,2,2445.5
"177","B-A-A-E-A",24225,8,3028.125
"178","B-A-A-F-A",1151,1,1151
"179","B-A-A-H-A",3468,2,1734
"180","B-A-B-A-A",36055,14,2575.35714285714
"181","B-A-B-B-A",83759,27,3102.18518518519
"182","B-A-B-B-B",1394,1,1394
"183","B-A-B-C-A",15120,6,2520
"184","B-A-B-C-B",1718,1,1718
"185","B-A-B-D-A",19448,8,2431
"186","B-A-B-E-A",112434,46,2444.21739130435
"187","B-A-B-E-B",3536,1,3536
"188","B-A-B-F-A",8674,4,2168.5
"189","B-A-B-G-A",516,1,516
"190","B-A-B-H-A",12432,2,6216
"191","B-A-B-K-A",6150,2,3075
"192","B-A-B-L-A",28080,9,3120
"193","B-A-B-W-A",7732,3,2577.33333333333
"194","B-A-C-B-A",5891,2,2945.5
"195","B-A-C-K-A",1255,1,1255
"196","B-A-D-A-A",5561,3,1853.66666666667
"197","B-A-D-B-A",13791,6,2298.5
"198","B-A-D-D-A",470,1,470
"199","B-A-D-E-A",6211,2,3105.5
"200","B-A-D-L-A",1445,1,1445
"201","B-B-A-A-A",3661,1,3661
"202","B-B-A-A-B",3089,1,3089
"203","B-B-A-B-A",1217,1,1217
"204","B-B-A-B-B",2698,1,2698
"205","B-B-A-C-A",1232,1,1232
"206","B-B-A-E-A",4833,1,4833
"207","B-B-B-A-A",36981,15,2465.4
"208","B-B-B-B-A",24232,8,3029
"209","B-B-B-B-B",2712,1,2712
"210","B-B-B-C-A",11602,4,2900.5
"211","B-B-B-D-A",2040,1,2040
"212","B-B-B-E-A",38230,16,2389.375
"213","B-B-B-L-B",3481,1,3481
"214","B-B-C-A-A",4932,1,4932
"215","B-B-C-C-A",1886,1,1886
"216","B-B-C-E-A",1672,1,1672
"217","BD-A-A-A-A",83795,27,3103.51851851852
"218","BD-A-A-B-A",95934,35,2740.97142857143
"219","BD-A-A-C-A",13938,7,1991.14285714286
"220","BD-A-A-D-A",3324,1,3324
"221","BD-A-A-E-A",21221,7,3031.57142857143
"222","BD-A-A-L-A",7552,2,3776
"223","BD-A-B-A-A",42163,17,2480.17647058824
"224","BD-A-B-B-A",63852,18,3547.33333333333
"225","BD-A-B-C-A",23179,9,2575.44444444444
"226","BD-A-B-C-B",1875,1,1875
"227","BD-A-B-D-A",1372,1,1372
"228","BD-A-B-E-A",1355,1,1355
"229","BD-A-B-H-A",3187,1,3187
"230","BD-A-B-L-A",5784,1,5784
"231","BD-A-C-D-A",2127,1,2127
"232","BD-A-C-L-A",6574,1,6574
"233","BD-A-D-B-A",1590,1,1590
"234","BD-B-A-A-A",15324,6,2554
"235","BD-B-A-B-A",20595,6,3432.5
"236","BD-B-A-B-B",2467,1,2467
"237","BD-B-A-C-A",20487,6,3414.5
"238","BD-B-A-L-A",2576,1,2576
"239","BD-B-B-A-A",11832,4,2958
"240","BD-B-B-B-A",15838,5,3167.6
"241","BD-B-B-B-B",2546,1,2546
"242","BD-B-B-C-A",1454,1,1454
"243","BD-B-B-E-A",2173,1,2173
"244","BD-B-C-A-A",2309,1,2309
"245","BD-B-D-A-B",2030,1,2030
"246","BE-A-A-A-A",66108,24,2754.5
"247","BE-A-A-B-A",146606,51,2874.62745098039
"248","BE-A-A-B-B",4801,1,4801
"249","BE-A-A-C-A",53811,20,2690.55
"250","BE-A-A-C-B",3920,1,3920
"251","BE-A-A-E-A",24624,9,2736
"252","BE-A-A-F-A",6991,1,6991
"253","BE-A-A-H-A",2294,1,2294
"254","BE-A-A-K-A",2613,1,2613
"255","BE-A-A-L-A",1258,1,1258
"256","BE-A-B-B-A",5619,2,2809.5
"257","BE-A-B-C-A",1135,1,1135
"258","BE-A-D-B-A",4808,2,2404
"259","BE-B-A-A-A",49155,15,3277
"260","BE-B-A-A-B",3089,1,3089
"261","BE-B-A-B-A",32329,14,2309.21428571429
"262","BE-B-A-B-B",8964,1,8964
"263","BE-B-A-C-A",14648,5,2929.6
"264","BE-B-A-D-A",7287,2,3643.5
"265","BE-B-A-E-A",13219,4,3304.75
"266","BE-B-A-H-A",13257,3,4419
"267","BE-B-A-K-A",5205,2,2602.5
"268","BE-B-B-A-A",2906,1,2906
"269","BE-B-B-B-A",1526,1,1526
"270","BE-C-A-A-B",4395,1,4395
"271","BE-C-A-B-A",2027,1,2027
"272","BE-C-A-B-B",1655,1,1655
"273","BF-A-A-A-A",148270,59,2513.05084745763
"274","BF-A-A-B-A",210153,80,2626.9125
"275","BF-A-A-C-A",41776,10,4177.6
"276","BF-A-A-E-A",35425,13,2725
"277","BF-A-A-H-A",1121,1,1121
"278","BF-A-A-K-A",3793,2,1896.5
"279","BF-A-A-L-A",1500,1,1500
"280","BF-A-C-A-A",1034,1,1034
"281","BF-A-C-B-A",588,1,588
"282","BF-B-A-A-A",43382,14,3098.71428571429
"283","BF-B-A-B-A",46212,13,3554.76923076923
"284","BF-B-A-B-B",2244,1,2244
"285","BF-B-A-C-A",13931,4,3482.75
"286","BF-B-A-D-A",9762,3,3254
"287","BF-B-A-E-A",13262,7,1894.57142857143
"288","BF-B-A-L-A",1911,1,1911
"289","BF-C-A-A-A",3324,1,3324
"290","BF-C-A-B-A",3271,1,3271
"291","BG-A-A-A-A",114631,42,2729.30952380952
"292","BG-A-A-B-A",142742,50,2854.84
"293","BG-A-A-C-A",44732,15,2982.13333333333
"294","BG-A-A-D-A",8342,3,2780.66666666667
"295","BG-A-A-E-A",46317,16,2894.8125
"296","BG-A-A-H-A",3753,2,1876.5
"297","BG-A-A-K-A",3490,2,1745
"298","BG-B-A-A-A",18319,6,3053.16666666667
"299","BG-B-A-B-A",12943,3,4314.33333333333
"300","BG-B-A-C-A",8267,3,2755.66666666667
"301","BG-B-A-E-A",2420,1,2420
"302","BH-A-A-A-A",107077,38,2817.81578947368
"303","BH-A-A-B-A",257565,91,2830.38461538462
"304","BH-A-A-C-A",55977,18,3109.83333333333
"305","BH-A-A-D-A",5121,3,1707
"306","BH-A-A-E-A",30314,12,2526.16666666667
"307","BH-A-A-H-A",1419,1,1419
"308","BH-A-C-C-A",3249,1,3249
"309","BH-A-D-B-A",1475,1,1475
"310","BH-B-A-A-A",4440,3,1480
"311","BH-B-A-B-A",29079,8,3634.875
"312","BH-B-A-B-B",2393,1,2393
"313","BH-B-A-C-A",7745,3,2581.66666666667
"314","BH-B-A-E-A",13044,3,4348
"315","BI-A-A-A-A",169766,52,3264.73076923077
"316","BI-A-A-B-A",404928,145,2792.60689655172
"317","BI-A-A-B-B",1715,1,1715
"318","BI-A-A-C-A",177615,63,2819.28571428571
"319","BI-A-A-D-A",6758,1,6758
"320","BI-A-A-E-A",56236,17,3308
"321","BI-A-A-G-A",4165,1,4165
"322","BI-A-A-H-A",26417,9,2935.22222222222
"323","BI-A-A-L-A",17869,6,2978.16666666667
"324","BI-A-A-L-B",3822,1,3822
"325","BI-A-C-B-A",2861,1,2861
"326","BI-A-C-L-A",3816,1,3816
"327","BI-B-A-A-A",29658,9,3295.33333333333
"328","BI-B-A-B-A",65814,23,2861.47826086957
"329","BI-B-A-B-B",1626,1,1626
"330","BI-B-A-C-A",25525,11,2320.45454545455
"331","BI-B-A-D-B",2176,1,2176
"332","BI-B-A-E-A",15023,5,3004.6
"333","BI-B-A-E-B",4044,2,2022
"334","BI-B-A-L-A",5150,3,1716.66666666667
"335","BI-C-A-A-A",506,1,506
"336","BI-C-A-A-B",4330,1,4330
"337","BI-C-A-B-B",2548,1,2548
"338","C-A-A-A-A",332959,241,1381.57261410788
"339","C-A-A-A-B",2424,1,2424
"340","C-A-A-B-A",183161,119,1539.16806722689
"341","C-A-A-C-A",96875,58,1670.25862068966
"342","C-A-A-D-A",51329,33,1555.42424242424
"343","C-A-A-E-A",3113,2,1556.5
"344","C-A-A-F-A",15919,7,2274.14285714286
"345","C-A-A-G-A",2845,3,948.333333333333
"346","C-A-A-G-B",1832,1,1832
"347","C-A-A-H-A",4784,4,1196
"348","C-A-A-K-A",22600,16,1412.5
"349","C-A-A-L-A",598,1,598
"350","C-A-B-A-A",47922,17,2818.94117647059
"351","C-A-B-B-A",7720,4,1930
"352","C-A-B-C-A",2398,1,2398
"353","C-A-B-D-A",17660,6,2943.33333333333
"354","C-A-B-E-A",6942,3,2314
"355","C-A-B-F-A",6812,1,6812
"356","C-A-B-G-A",849,1,849
"357","C-A-B-K-A",11728,5,2345.6
"358","C-A-B-L-A",3924,2,1962
"359","C-A-C-A-A",38871,33,1177.90909090909
"360","C-A-C-B-A",10211,10,1021.1
"361","C-A-C-C-A",12848,7,1835.42857142857
"362","C-A-C-G-A",346,1,346
"363","C-A-C-H-A",1662,1,1662
"364","C-A-C-K-A",4957,5,991.4
"365","C-A-D-A-A",5392,4,1348
"366","C-A-D-B-A",7206,4,1801.5
"367","C-A-D-E-A",4455,1,4455
"368","C-A-D-F-A",2379,1,2379
"369","C-B-A-A-A",13866,8,1733.25
"370","C-B-A-A-B",1904,1,1904
"371","C-B-A-B-A",4352,3,1450.66666666667
"372","C-B-A-C-A",1090,1,1090
"373","C-B-A-L-A",2244,2,1122
"374","C-B-B-A-A",15583,5,3116.6
"375","C-B-B-B-A",11895,4,2973.75
"376","C-B-B-C-A",656,1,656
"377","C-B-B-F-A",1226,1,1226
"378","C-B-C-A-A",5152,1,5152
"379","C-B-D-A-A",2807,1,2807
"380","C-C-A-A-B",2018,4,504.5
"381","C-C-A-B-B",3618,3,1206
"382","C-C-A-C-A",414,1,414
"383","C-C-B-A-A",1271,1,1271
"384","C-C-B-B-B",4409,1,4409
"385","C-C-C-A-A",1626,1,1626
"386","C-C-C-A-B",3518,5,703.6
"387","C-C-C-B-A",3099,3,1033
"388","C-C-C-B-B",1849,3,616.333333333333
"389","C-C-D-B-B",831,1,831
"390","CB-A-A-A-A",36220,16,2263.75
"391","CB-A-A-F-A",1714,1,1714
"392","CB-A-B-A-A",346062,171,2023.75438596491
"393","CB-A-B-B-A",69208,26,2661.84615384615
"394","CB-A-B-C-A",44134,23,1918.86956521739
"395","CB-A-B-D-A",13262,6,2210.33333333333
"396","CB-A-B-F-A",15280,7,2182.85714285714
"397","CB-A-B-H-A",6663,3,2221
"398","CB-A-B-K-A",15855,7,2265
"399","CB-A-B-L-A",6664,3,2221.33333333333
"400","CB-A-C-A-A",1412,1,1412
"401","CB-A-D-A-A",22848,9,2538.66666666667
"402","CB-A-D-B-A",6649,4,1662.25
"403","CB-A-D-C-A",2607,1,2607
"404","CB-A-D-D-A",1144,1,1144
"405","CB-A-D-E-A",2617,1,2617
"406","CB-A-D-F-A",1877,1,1877
"407","CB-B-A-A-A",1252,1,1252
"408","CB-B-B-A-A",82078,34,2414.05882352941
"409","CB-B-B-A-B",7110,4,1777.5
"410","CB-B-B-B-A",9594,6,1599
"411","CB-B-B-C-A",5482,3,1827.33333333333
"412","CB-B-B-D-A",7423,4,1855.75
"413","CB-B-B-F-A",4348,2,2174
"414","CB-B-B-H-A",3297,2,1648.5
"415","CB-B-B-L-B",2102,1,2102
"416","CB-B-D-A-A",7188,3,2396
"417","CB-C-B-A-A",4137,2,2068.5
"418","CB-C-B-C-B",1413,1,1413
"419","CC-A-A-A-A",80797,39,2071.71794871795
"420","CC-A-A-B-A",4545,2,2272.5
"421","CC-A-A-C-A",3003,1,3003
"422","CC-A-A-D-A",6489,2,3244.5
"423","CC-A-A-F-A",8084,4,2021
"424","CC-A-A-H-A",4421,2,2210.5
"425","CC-A-B-A-A",367292,168,2186.2619047619
"426","CC-A-B-B-A",77171,31,2489.38709677419
"427","CC-A-B-C-A",28171,15,1878.06666666667
"428","CC-A-B-D-A",4304,4,1076
"429","CC-A-B-F-A",6961,2,3480.5
"430","CC-A-B-H-A",8992,2,4496
"431","CC-A-B-K-A",10581,4,2645.25
"432","CC-A-B-L-A",3118,1,3118
"433","CC-A-C-A-A",1662,1,1662
"434","CC-A-D-A-A",28458,17,1674
"435","CC-A-D-B-A",1879,2,939.5
"436","CC-A-D-F-A",5909,1,5909
"437","CC-B-A-A-A",28585,11,2598.63636363636
"438","CC-B-A-A-B",1552,1,1552
"439","CC-B-A-C-A",7815,2,3907.5
"440","CC-B-B-A-A",102845,38,2706.44736842105
"441","CC-B-B-A-B",7667,5,1533.4
"442","CC-B-B-B-A",30018,11,2728.90909090909
"443","CC-B-B-B-B",8134,1,8134
"444","CC-B-B-C-A",6982,3,2327.33333333333
"445","CC-B-B-C-B",2259,1,2259
"446","CC-B-B-D-A",10202,2,5101
"447","CC-B-B-F-A",3821,3,1273.66666666667
"448","CC-B-D-A-A",2449,1,2449
"449","CC-B-D-B-A",1984,1,1984
"450","CC-B-D-C-A",4381,1,4381
"451","CC-B-D-D-B",1641,1,1641
"452","CC-B-D-F-A",1643,1,1643
"453","CC-C-B-A-B",2257,1,2257
"454","CC-C-B-B-A",2748,1,2748
"455","CD-A-A-A-A",182696,119,1535.26050420168
"456","CD-A-A-B-A",32576,22,1480.72727272727
"457","CD-A-A-C-A",10221,13,786.230769230769
"458","CD-A-A-D-A",6465,3,2155
"459","CD-A-A-F-A",8685,2,4342.5
"460","CD-A-A-H-A",2010,1,2010
"461","CD-A-A-L-A",1437,2,718.5
"462","CD-A-B-A-A",175729,88,1996.92045454545
"463","CD-A-B-B-A",78482,37,2121.13513513513
"464","CD-A-B-C-A",26645,15,1776.33333333333
"465","CD-A-B-D-A",10114,3,3371.33333333333
"466","CD-A-B-E-A",1467,1,1467
"467","CD-A-B-F-A",3308,1,3308
"468","CD-A-B-H-A",2062,1,2062
"469","CD-A-B-K-A",15453,4,3863.25
"470","CD-A-B-L-A",1040,1,1040
"471","CD-A-C-A-A",1353,3,451
"472","CD-A-C-C-A",682,1,682
"473","CD-A-D-B-A",8730,2,4365
"474","CD-A-D-C-A",5325,2,2662.5
"475","CD-A-D-L-A",2832,1,2832
"476","CD-B-A-A-A",13794,8,1724.25
"477","CD-B-A-B-A",1798,1,1798
"478","CD-B-A-B-B",1222,1,1222
"479","CD-B-B-A-A",62721,16,3920.0625
"480","CD-B-B-A-B",3397,2,1698.5
"481","CD-B-B-B-A",19368,5,3873.6
"482","CD-B-B-C-A",6265,2,3132.5
"483","CD-B-D-A-A",5653,2,2826.5
"484","CD-B-D-D-A",2064,1,2064
"485","CD-C-B-A-B",1336,1,1336
"486","CE-A-A-A-A",207031,176,1176.3125
"487","CE-A-A-A-B",988,1,988
"488","CE-A-A-B-A",115162,107,1076.28037383178
"489","CE-A-A-C-A",35472,29,1223.1724137931
"490","CE-A-A-D-A",12054,8,1506.75
"491","CE-A-A-E-A",2134,1,2134
"492","CE-A-A-F-A",4385,2,2192.5
"493","CE-A-A-G-A",2614,2,1307
"494","CE-A-A-H-A",7169,4,1792.25
"495","CE-A-A-K-A",1799,2,899.5
"496","CE-A-A-L-A",3866,3,1288.66666666667
"497","CE-A-B-A-A",13640,10,1364
"498","CE-A-B-B-A",5408,5,1081.6
"499","CE-A-C-A-A",25772,26,991.230769230769
"500","CE-A-C-B-A",14385,14,1027.5
"501","CE-A-C-C-A",1843,3,614.333333333333
"502","CE-A-C-D-A",963,2,481.5
"503","CE-A-C-H-A",369,1,369
"504","CE-A-C-L-A",361,1,361
"505","CE-A-D-A-A",1831,2,915.5
"506","CE-B-A-A-A",1992,3,664
"507","CE-B-A-F-A",1269,1,1269
"508","CE-C-A-A-A",2386,1,2386
