"","Finchtyp","Finmhboi","watersys","instant","tank"
"1","Central heating (wet with rads)","Condensing","with central heating","None","Tank without Immersion Heater"
"2","Central heating (wet with rads)","Condensing combi","with central heating","None","No Tank"
"3","Central heating (wet with rads)","Combination","with central heating","None","No Tank"
"4","Central heating (wet with rads)","Back boiler","with central heating","None","Tank without Immersion Heater"
"9","Central heating (wet with rads)","Standard","with central heating","Single","Tank without Immersion Heater"
"10","Central heating (wet with rads)","Condensing","with central heating","Single","Tank without Immersion Heater"
"12","Central heating (wet with rads)","Condensing combi","with central heating","Single","No Tank"
"14","Central heating (wet with rads)","Combination","with central heating","Single","No Tank"
"16",NA,NA,"electric immersion heater","None","No Tank"
"18","Central heating (wet with rads)","Standard","with central heating","None","Tank without Immersion Heater"
"21","Central heating (wet with rads)","Back boiler","with central heating","Single","Tank with Immersion Heater"
"22","Communal/CHP",NA,"with central heating","None","No Tank"
"28","Central heating (wet with rads)","Standard","with central heating","None","Tank with Immersion Heater"
"36","Central heating (wet with rads)","Standard","with central heating","Single","Tank with Immersion Heater"
"38","Storage heaters","No boiler","electric immersion heater","None","Tank with Immersion Heater"
"49","Warm air","Standard","with central heating","None","Tank with Immersion Heater"
"50","Warm air","Standard","with central heating","Single","Tank without Immersion Heater"
"59","Central heating (wet with rads)","Condensing combi","with central heating","Single","Tank with Immersion Heater"
"70","Central heating (wet with rads)","Condensing","with central heating","None","Tank with Immersion Heater"
"75","Central heating (wet with rads)","Back boiler","with central heating","Single","Tank without Immersion Heater"
"95","Storage heaters","No boiler","electric immersion heater","Single","Tank with Immersion Heater"
"102","Warm air","Standard","with central heating","Single","Tank with Immersion Heater"
"111","Central heating (wet with rads)","Standard","instantaneous","None","No Tank"
"126","Room heaters","No boiler","dedicated boiler","Single","Tank with Immersion Heater"
"140","Central heating (wet with rads)","Combination","with central heating","Single","Tank without Immersion Heater"
"142","Communal/CHP","Standard","with central heating","None","No Tank"
"156","Central heating (wet with rads)","Combined primary storage unit","with central heating","None","Tank without Immersion Heater"
"170","Electric ceiling/underfloor","No boiler","electric immersion heater","None","Tank with Immersion Heater"
"172","Warm air","Combined primary storage unit","with central heating","None","No Tank"
"176","Communal/CHP","No boiler","with central heating","Single","Tank without Immersion Heater"
"177","Central heating (wet with rads)","Condensing","with central heating","Single","Tank with Immersion Heater"
"178","Central heating (wet with rads)","Back boiler","with central heating","None","Tank with Immersion Heater"
"182","Communal/CHP","No boiler","with central heating","None","Tank without Immersion Heater"
"188","Central heating (wet with rads)","Standard","electric immersion heater","None","Tank with Immersion Heater"
"190","Communal/CHP","Condensing","with central heating","Single","No Tank"
"195","Central heating (wet with rads)","Combination","with central heating","None","Tank with Immersion Heater"
"201","Central heating (wet with rads)","Combination","with central heating","None","Tank without Immersion Heater"
"223","Communal/CHP",NA,"with central heating","None","Tank without Immersion Heater"
"226","Central heating (wet with rads)","Combined primary storage unit","with central heating","None","No Tank"
"233","Communal/CHP","No boiler","with central heating","None","No Tank"
"256","Central heating (wet with rads)","Condensing","electric immersion heater","None","Tank with Immersion Heater"
"264","Room heaters","No boiler","dedicated boiler","None","No Tank"
"281","Central heating (wet with rads)","Condensing","with central heating","Multi","Tank with Immersion Heater"
"282","Storage heaters","No boiler","instantaneous","Single","Tank without Immersion Heater"
"288","Central heating (wet with rads)","Condensing","with central heating","None","No Tank"
"301","Central heating (wet with rads)","Condensing combi","with central heating","None","Tank without Immersion Heater"
"343","Room heaters","No boiler","electric immersion heater","None","Tank with Immersion Heater"
"381",NA,NA,"electric immersion heater","Single","Tank with Immersion Heater"
"408","Room heaters","No boiler","electric immersion heater","Single","Tank with Immersion Heater"
"418",NA,NA,"electric immersion heater","None","Tank with Immersion Heater"
"427","Communal/CHP","No boiler","with central heating","Single","No Tank"
"442","Warm air","Standard","instantaneous","None","No Tank"
"508","Communal/CHP",NA,"with central heating","None","Tank with Immersion Heater"
"517","Communal/CHP",NA,"electric immersion heater","None","Tank with Immersion Heater"
"521","Central heating (wet with rads)","Back boiler","instantaneous","Multi","No Tank"
"522","Central heating (wet with rads)","Condensing combi","with central heating","None","Tank with Immersion Heater"
"525","Central heating (wet with rads)","Condensing combi","electric immersion heater","None","No Tank"
"554","Communal/CHP","No boiler","with central heating","None","Tank with Immersion Heater"
"562","Warm air","No boiler","electric immersion heater","None","Tank with Immersion Heater"
"581","Communal/CHP","Condensing","with central heating","None","Tank without Immersion Heater"
"589","Storage heaters","No boiler","instantaneous","None","No Tank"
"596","Warm air","Standard","electric immersion heater","Single","Tank with Immersion Heater"
"642","Communal/CHP","Standard","with central heating","Single","No Tank"
"668","Communal/CHP","Condensing","with central heating","None","No Tank"
"694","Communal/CHP","Standard","with central heating","None","Tank with Immersion Heater"
"774","Central heating (wet with rads)","Combination","with central heating","Both","No Tank"
"841","Warm air","Standard","instantaneous","Both","No Tank"
"912","Communal/CHP","No boiler","instantaneous","Single","No Tank"
"917","Central heating (wet with rads)","Standard","with central heating","Single","No Tank"
"947","Central heating (wet with rads)","Combination","instantaneous","Single","No Tank"
"971","Central heating (wet with rads)","Condensing combi","instantaneous","Single","No Tank"
"1006","Central heating (wet with rads)","Condensing combi","with central heating","Single","Tank without Immersion Heater"
"1070","Room heaters","No boiler","instantaneous","Both","No Tank"
"1128","Warm air","No boiler","electric immersion heater","Single","Tank with Immersion Heater"
"1175","Warm air","Standard","electric immersion heater","None","Tank with Immersion Heater"
"1205","Communal/CHP","No boiler","electric immersion heater","None","Tank with Immersion Heater"
"1221","Central heating (wet with rads)","Back boiler","dedicated boiler","Single","Tank without Immersion Heater"
"1222",NA,NA,"instantaneous","Single","No Tank"
"1226","Communal/CHP","Condensing","with central heating","None","Tank with Immersion Heater"
"1243","Communal/CHP","Standard","electric immersion heater","None","Tank with Immersion Heater"
"1252","Storage heaters","No boiler","electric immersion heater","None","No Tank"
"1317","Central heating (wet with rads)","Back boiler","electric immersion heater","None","Tank with Immersion Heater"
"1321","Communal/CHP","Standard","with central heating","None","Tank without Immersion Heater"
"1411","Electric ceiling/underfloor","No boiler","instantaneous","Multi","No Tank"
"1524","Storage heaters","No boiler","instantaneous","Both","No Tank"
"1618","Central heating (wet with rads)","Condensing combi","with central heating","Multi","No Tank"
"1632","Central heating (wet with rads)","Standard","dedicated boiler","Single","No Tank"
"1797","Central heating (wet with rads)","Condensing","instantaneous","None","No Tank"
"1828","Room heaters","No boiler","instantaneous","Single","No Tank"
"1958","Communal/CHP","Condensing combi","with central heating","None","No Tank"
"1998","Communal/CHP",NA,"instantaneous","Single","Tank without Immersion Heater"
"2056","Central heating (wet with rads)","Condensing combi","electric immersion heater","None","Tank with Immersion Heater"
"2060","Central heating (wet with rads)","No boiler","with central heating","None","Tank without Immersion Heater"
"2188","Room heaters","No boiler","instantaneous","Multi","No Tank"
"2284","Communal/CHP",NA,"electric immersion heater","Single","Tank with Immersion Heater"
"2304","Room heaters","Combination","electric immersion heater","Single","Tank with Immersion Heater"
"2420",NA,NA,"dedicated boiler","None","Tank with Immersion Heater"
"2537","Central heating (wet with rads)","Standard","electric immersion heater","Single","Tank with Immersion Heater"
"2560","Central heating (wet with rads)","Standard","with central heating","None","No Tank"
"2587","Storage heaters","No boiler","dedicated boiler","None","No Tank"
"2631","Central heating (wet with rads)","No boiler","with central heating","None","Tank with Immersion Heater"
"2641","Central heating (wet with rads)","Standard","instantaneous","Single","No Tank"
"2646","Warm air","Standard","with central heating","None","Tank without Immersion Heater"
"2678","Storage heaters","No boiler","instantaneous","Single","No Tank"
"2686","Electric ceiling/underfloor","No boiler","electric immersion heater","Single","Tank with Immersion Heater"
"2692","Central heating (wet with rads)","No boiler","electric immersion heater","None","Tank with Immersion Heater"
"2794","Warm air","No boiler","dedicated boiler","None","Tank with Immersion Heater"
"2796","Warm air","No boiler","instantaneous","None","No Tank"
"2844","Room heaters","No boiler","instantaneous","None","No Tank"
"2916","Central heating (wet with rads)","Standard","instantaneous","Single","Tank without Immersion Heater"
"3007",NA,NA,"instantaneous","Both","No Tank"
"3009","Communal/CHP","Standard","with central heating","Single","Tank without Immersion Heater"
"3046","Central heating (wet with rads)","Back boiler","dedicated boiler","Single","Tank with Immersion Heater"
"3078","Communal/CHP","Condensing","with central heating","Single","Tank without Immersion Heater"
"3103","Central heating (wet with rads)","Standard","instantaneous","Multi","No Tank"
"3149","Room heaters","Back boiler","dedicated boiler","Single","Tank with Immersion Heater"
"3237","Central heating (wet with rads)","Back boiler","with central heating","None","No Tank"
"3381","Central heating (wet with rads)","Standard","with central heating","Multi","Tank with Immersion Heater"
"3388","Electric ceiling/underfloor","No boiler","instantaneous","Both","No Tank"
"3456","Central heating (wet with rads)",NA,"with central heating","None","Tank with Immersion Heater"
"3469","Central heating (wet with rads)","No boiler","electric immersion heater","Single","Tank with Immersion Heater"
"3535","Room heaters","No boiler","instantaneous","Multi","Tank without Immersion Heater"
"3603",NA,NA,"instantaneous","Multi","No Tank"
"3627","Storage heaters","No boiler","instantaneous","Multi","No Tank"
"3876","Communal/CHP",NA,"with central heating","Single","No Tank"
"3906","Room heaters","No boiler","electric immersion heater","None","No Tank"
"3919",NA,NA,"instantaneous","None","No Tank"
"3956","Storage heaters","No boiler","dedicated boiler","Single","Tank with Immersion Heater"
"3967","Communal/CHP","Standard","with central heating","Single","Tank with Immersion Heater"
"4031","Central heating (wet with rads)",NA,"with central heating","None","No Tank"
"4076","Central heating (wet with rads)","Standard","with central heating","Multi","Tank without Immersion Heater"
"4104","Central heating (wet with rads)","Combination","with central heating","Multi","No Tank"
"4159","Central heating (wet with rads)","Combined primary storage unit","with central heating","None","Tank with Immersion Heater"
"4613","Central heating (wet with rads)","Combination","dedicated boiler","None","Tank without Immersion Heater"
"4713","Storage heaters","No boiler","dedicated boiler","None","Tank with Immersion Heater"
"4751","Central heating (wet with rads)","Back boiler","instantaneous","Both","No Tank"
"4806","Central heating (wet with rads)",NA,"with central heating","None","Tank without Immersion Heater"
"4942","Room heaters","Standard","electric immersion heater","None","Tank with Immersion Heater"
"5039","Warm air",NA,"instantaneous","None","No Tank"
"5050","Room heaters","No boiler","dedicated boiler","None","Tank with Immersion Heater"
"5207","Communal/CHP",NA,"instantaneous","None","No Tank"
"5323","Communal/CHP","No boiler","electric immersion heater","Single","Tank with Immersion Heater"
"5324","Communal/CHP",NA,"with central heating","Single","Tank with Immersion Heater"
"5531","Central heating (wet with rads)","Condensing combi","with central heating","Both","No Tank"
"5626","Central heating (wet with rads)","Combination","with central heating","Single","Tank with Immersion Heater"
"5792","Room heaters","Back boiler","dedicated boiler","None","Tank with Immersion Heater"
"5932","Central heating (wet with rads)","Back boiler","electric immersion heater","Single","Tank with Immersion Heater"
"5959","Room heaters","Back boiler","dedicated boiler","None","Tank without Immersion Heater"
"6043","Communal/CHP",NA,"with central heating","Single","Tank without Immersion Heater"
"6116","Communal/CHP","Standard","electric immersion heater","Single","Tank with Immersion Heater"
"6157","Central heating (wet with rads)","Condensing","electric immersion heater","Single","Tank with Immersion Heater"
"6166","Central heating (wet with rads)","Standard","dedicated boiler","None","No Tank"
"6250","Warm air",NA,"with central heating","None","Tank without Immersion Heater"
"6577","Storage heaters","No boiler","electric immersion heater","Multi","Tank with Immersion Heater"
"6790","Storage heaters","No boiler","dedicated boiler","Single","No Tank"
"7266","Storage heaters","No boiler","instantaneous","Multi","Tank without Immersion Heater"
"7401","Central heating (wet with rads)","Combination","instantaneous","Multi","No Tank"
"7535","Warm air","No boiler","electric immersion heater","None","Tank without Immersion Heater"
"7755","Communal/CHP",NA,"instantaneous","Single","No Tank"
"7869","Communal/CHP","No boiler","with central heating","Single","Tank with Immersion Heater"
"7889","Storage heaters",NA,"electric immersion heater","None","Tank with Immersion Heater"
"7896","Communal/CHP","Condensing combi","electric immersion heater","None","Tank with Immersion Heater"
"8374","Storage heaters","No boiler","dedicated boiler","None","Tank without Immersion Heater"
"8391","Central heating (wet with rads)","Back boiler","dedicated boiler","None","Tank with Immersion Heater"
"8735","Central heating (wet with rads)","Back boiler","dedicated boiler","None","Tank without Immersion Heater"
"8987","Central heating (wet with rads)","Condensing","dedicated boiler","None","Tank with Immersion Heater"
"9072","Central heating (wet with rads)","No boiler","with central heating","Single","Tank with Immersion Heater"
"9158","Central heating (wet with rads)","Standard","dedicated boiler","Single","Tank with Immersion Heater"
"9309","Central heating (wet with rads)","Condensing","instantaneous","Both","No Tank"
"9388","Electric ceiling/underfloor","No boiler","instantaneous","None","No Tank"
"9620","Central heating (wet with rads)","No boiler","instantaneous","Single","No Tank"
"9633","Warm air","No boiler","instantaneous","Multi","No Tank"
"9636","Communal/CHP","Condensing","with central heating","Single","Tank with Immersion Heater"
"9781","Warm air","Standard","instantaneous","Multi","No Tank"
"10163","Central heating (wet with rads)","Standard","dedicated boiler","None","Tank with Immersion Heater"
"10364","Electric ceiling/underfloor",NA,"electric immersion heater","None","Tank with Immersion Heater"
"10622","Central heating (wet with rads)","No boiler","with central heating","None","No Tank"
"11071","Warm air","Combination","instantaneous","Single","No Tank"
"11337",NA,NA,"dedicated boiler","Single","Tank with Immersion Heater"
"11440","Central heating (wet with rads)","No boiler","with central heating","Single","Tank without Immersion Heater"
"11491","Central heating (wet with rads)",NA,"with central heating","Single","Tank without Immersion Heater"
"11557","Communal/CHP",NA,"instantaneous","Multi","No Tank"
"11613","Central heating (wet with rads)","Back boiler","with central heating","Multi","Tank without Immersion Heater"
"11659","Storage heaters",NA,"electric immersion heater","Single","Tank with Immersion Heater"
"12348","Central heating (wet with rads)","No boiler","instantaneous","Multi","Tank without Immersion Heater"
